epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.374,0.86369,3.42914,1.30482,0.00382,0.89524,0.1963,0.13333,0.54373,3.99184,1.19137,6.25e-05,6.25e-05,6.25e-05
2,403.18,0.71703,3.06989,1.2672,0.01049,0.87024,0.31046,0.21737,0.50516,3.902,1.14613,0.000130694,0.000130694,0.000130694
3,584.345,0.68278,2.52611,1.20874,0.01217,0.87619,0.49084,0.33407,0.57466,3.77384,1.18468,0.000191463,0.000191463,0.000191463
4,762.235,0.69854,2.14836,1.25882,0.01274,0.87619,0.50049,0.35627,0.68944,3.65961,1.25236,0.000244806,0.000244806,0.000244806
5,936.198,0.74315,1.94816,1.27641,0.01303,0.90714,0.58875,0.43808,0.76561,3.55432,1.36237,0.000290725,0.000290725,0.000290725
6,1104.53,0.71326,1.81555,1.21474,0.9566,0.11334,0.57546,0.44453,0.74457,3.37891,1.3701,0.000329219,0.000329219,0.000329219
7,1275.42,0.71255,1.71644,1.20275,0.82938,0.25781,0.58534,0.48225,0.69799,3.35875,1.32191,0.000360287,0.000360287,0.000360287
8,1448.97,0.68873,1.65607,1.21123,0.82116,0.39593,0.64365,0.40612,0.88948,3.29792,1.63011,0.000383931,0.000383931,0.000383931
9,1622.03,0.76769,1.64871,1.24891,0.81699,0.25272,0.53265,0.38644,0.92325,3.30839,1.61923,0.00040015,0.00040015,0.00040015
10,1795.34,0.72436,1.56333,1.22671,0.63595,0.49958,0.57447,0.39362,1.02686,3.0548,1.66615,0.000408944,0.000408944,0.000408944
11,1969.54,0.71902,2.10721,1.29767,0.74806,0.53931,0.64267,0.47614,0.84723,3.25667,1.39289,0.000410313,0.000410313,0.000410313
12,2143.31,0.59811,2.01496,1.18442,0.7674,0.58274,0.69764,0.52702,0.72466,2.94164,1.23574,0.000404256,0.000404256,0.000404256
13,2311.06,0.59517,1.79088,1.20477,0.77602,0.70499,0.75736,0.54293,0.93987,2.88216,1.57923,0.000390775,0.000390775,0.000390775
14,2475.8,0.57552,1.73304,1.15082,0.71687,0.68997,0.73322,0.59133,0.75369,2.68184,1.28523,0.000369869,0.000369869,0.000369869
15,2642.85,0.54983,1.67116,1.14469,0.78312,0.53666,0.71092,0.55969,0.90792,2.79794,1.51188,0.000341538,0.000341538,0.000341538
16,2810.22,0.50762,1.658,1.10743,0.87312,0.66434,0.78291,0.59316,0.8898,2.5995,1.48321,0.000305781,0.000305781,0.000305781
17,2977.15,0.51312,1.54221,1.10176,0.84949,0.74127,0.80648,0.6092,0.70709,2.37853,1.23184,0.00026,0.00026,0.00026
18,3145.07,0.4708,1.44107,1.05243,0.89335,0.67288,0.78483,0.61686,0.68198,2.37955,1.21298,0.000198125,0.000198125,0.000198125
19,3312.92,0.43325,1.43286,1.02978,0.93312,0.64625,0.79189,0.61399,0.69305,2.34412,1.24968,0.00013625,0.00013625,0.00013625
20,3479.92,0.41965,1.32519,1.02527,0.95614,0.64668,0.79352,0.62987,0.67373,2.28599,1.20391,7.4375e-05,7.4375e-05,7.4375e-05
