epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.786,0.87694,2.89454,1.21611,0.45686,0.52125,0.25436,0.16034,1.01476,4.85177,1.52655,0.00020006,0.00020006,0.00020006
2,97.4588,0.62621,1.75408,0.9904,0.48089,0.49624,0.40692,0.34117,0.71091,2.71125,1.09583,0.000373383,0.000373383,0.000373383
3,143.775,0.58292,1.40943,0.97419,0.73059,0.49239,0.47935,0.39068,0.71847,3.39011,1.08537,0.000504266,0.000504266,0.000504266
4,190.658,0.61535,1.2599,0.96223,0.38791,0.83546,0.47316,0.3558,0.78479,3.48116,1.12827,0.000592706,0.000592706,0.000592706
5,235.845,0.59381,1.03461,0.94602,0.42914,0.6948,0.49853,0.40845,0.80354,2.4464,1.13476,0.000638706,0.000638706,0.000638706
6,282.343,0.59859,1.00532,0.96916,0.46698,0.46595,0.4058,0.31758,0.75146,2.71147,1.06764,0.000642264,0.000642264,0.000642264
7,329.49,0.58176,0.98782,0.94603,0.38724,0.75474,0.48336,0.3895,0.78956,2.16438,1.10285,0.000580174,0.000580174,0.000580174
8,376.174,0.50733,0.84402,0.9083,0.44689,0.6301,0.4443,0.34818,0.77317,2.40638,1.10814,0.000438703,0.000438703,0.000438703
9,422.557,0.49155,0.74171,0.91795,0.42741,0.75474,0.44704,0.36101,0.79777,1.96304,1.14655,0.000297232,0.000297232,0.000297232
10,468.055,0.46368,0.70941,0.89198,0.4589,0.6567,0.4393,0.355,0.80184,1.75783,1.12378,0.000155761,0.000155761,0.000155761
